UWI0009,138,1
BVAR0037,230,1
UWI0089,176,1
UWI0084,161,1
UWI0121,70,1
BLVDD0098,115,1
UWI0025,158,1
UWI0030,159,1
UMDBV1173,489,1
UWI0024,151,2
UWI0013,157,2
BLVDD0104,482,2
BVENT0580,163,2
UWI0011,156,2
UMDBV0754,175,2
UW91207,100,2
UW90187,383,2
UW90750,114,2
UWI0053,10,2
UMDBV1890,2,2
UWI0060,186,2
UWI0062,34,2
UWI0086,161,3
UWI0010,185,3
UWI0082,6,3
UMDBV1264,331,3
BVAR0726,239,3
BMOV0655,272,3
UWI0049,176,3
BVED0056,483,3
UMDBV1112,88,4
UMDBV0717,410,4
UMDBV1225,669,4
UMDBV0619,865,4
UMDBV0619,1605,4
UMDBV0619,520,4
UWI0035,199,5
UWI0020,150,5
BVAR0845,552,5
UWI0013,1225,5
BVAR0844,84,5
BVAR0546,163,6
BVAR0547,736,6
UWI0051,970,6
UMDBV1046,565,7
UMDBV1257,787,7
UMDBV0606,1343,7
UMDBV0613,32,7
UMDBV0624,645,7
UMDBV0864,685,8
UMDBV1252,615,8
BRAY1118,279,8
UMDBV0607,969,8
UMDBV1281,188,8
UMDBV1291,675,9
UMDBV1362,352,9
UMDBV0724,521,9
UMDBV0596,1,9
UMDBV0601,1,9
UMDBV0799,1,9
UMDBV0764,1,9
UMDBV0750,1205,9
UMDBV1359,1,9
UMDBV0596,482,10
CDU2X47PC6,468,10
BOUL0881,324,10
MISP0298,643,10
UMDBV1050,304,11
UMDBV0621,285,11
UMDBV0603,1140,11
UMDBV0763,454,11
BVAR0001,238,12
UMDBV0847,46,12
UMDBV0601,44,12
BVENT0362,39,12
BVENT0625,38,12
BLVDD0777,12,12
UMDBV1252,12,12
UMDBV1052,56,12
BVAR0620,646,12
UMDBV1369,140,12
BOUL0986,316,13
BOUL0986,26,13
BOUL0332,1,13
BOUL0453,10,13
INF219,1,13
INF321,200,13
BVENT0875,68,13
BVAR0010,18,13
BVAR0504,715,13
BOUL0028,78,13
BOUL0065,200,13
BVAR0612,416,13
BOUL0997,458,13
BVENT0163,25,13
BVENT0350,62,13
BVAR0518,19,13
BVAR0550,182,13
BVAR0583,260,13
BVAR0722,43,14
BOUL0868,107,14
BVAR0506,421,14
BOUL0893,176,14
BMOV0659,300,14
BVAR0536,322,14
BVENT0791,79,14
BLVDD0824,37,14
BVAR0581,1000,14
BVENT0321,30,14
BVENT0492,97,15
INF285,197,15
BVAR0140,111,15
BVENT0601,207,15
BVAR0598,164,15
BOUL0564,441,15
BLVDD0076,201,15
BVAR0524,622,15
BVAR0518,700,15
BVENT0362,39,16
BVAR0526,238,16
BVAR0526,240,16
BOUL0988,23,16
BVAR0538,34,16
BMOV0657,200,16
BLVDD0157,14,16
BVAR0261,89,16
BVENT0738,10,16
BVAR0604,167,16
BOUL0885,81,16
BOUL0058,221,16
BVAR0002,178,16
BVAR0210,149,16
BOUL0897,30,16
BLVDD0900,14,16
CDU2X47PC5,403,16
BVAR0013,151,17
BLVDD0495,107,17
BVAR0606,608,17
BVAR0393,75,17
UWI0054,192,17
UMDBV0620,665,17
UMDBV0760,557,17
BOUL0589,35,18
BVENT0777,368,18
BVAR0092,14,18
BOUL0893,272,18
BVAR0609,30,18
BOUL0063,69,18
BLVDD0589,72,18
BLVDD0713,5,18
UMDBV1373,465,18
BMOV0655,889,18
BMOV0660,207,18
UMDBV1286,130,18
BVAR0613,278,18
BVAR0618,24,18
BVAR0413,362,18
BOUL0099,15,19
BVAR0508,112,19
BMOV0656,15,19
BMOV0657,336,19
BVAR0865,992,19
INF453,130,19
BVED0051,500,19
BVAR0611,527,19
BVENT0579,119,19
BOUL0883,76,19
BVENT0306,57,19
BVENT0311,131,19
BVAR0001,212,19
BVENT0868,3,19
BVENT0628,102,19
BVAR0623,539,20
BLVDD0496,117,20
BVENT0633,139,20
BVAR0544,99,20
BVENT0560,131,20
BLVDD0760,23,20
BVENT0780,3,20
BVENT0643,216,20
BVAR0602,55,20
BVAR0686,135,20
BMOV0661,61,20
9780954835804,400,20
BVENT0798,30,20
BLVDD0730,247,20
BVAR0099,133,20
BLVDD0632,22,20
BMOV0656,293,21
BVAR0624,640,21
BVAR0537,13,21
BVAR0597,130,21
BVAR0615,662,21
BMOV0662,334,21
BVAR0241,187,21
BMOV0665,245,21
BMOV0666,276,21
BVAR0207,142,21
BVENT0099,31,21
UWI0089,1225,22
BVAR0001,448,22
CDU2X47PC1,436,22
BOUL0351,8,23
BOUL0354,15,23
BVAR0512,592,23
INF321,250,23
BVENT0974,74,23
BLVDD0665,779,23
INF446,5,23
BOUL0401,679,23
BVENT0644,255,23
BLVDD0016,2,23
BOUL0358,18,23
BVENT0345,3,23
BOUL0355,25,23
UWI0032,976,24
UWI0048,981,24
CDU2X47PC3,435,24
UW91207,2021,25
CDU2X47PC2,413,25
BVENT0738,40,26
BLVDD0047,1003,26
BVENT0143,89,26
BLVDD0701,73,26
BVENT0623,125,26
BVENT0109,110,26
BLVDD0026,1,26
BVENT0424,247,26
INF458,1342,26
BOUL0447,60,27
INF247,20,27
BOUL0292,78,27
BOUL0352,12,27
BOUL0353,46,27
BOUL0056,153,27
BOUL0318,124,27
BOUL0449,236,27
5060076740076,297,27
BOUL0296,50,27
BVENT0568,1,27
BVENT0958,68,27
BVENT0103,546,27
BVENT0103,121,27
BVENT0639,137,27
BVENT0593,1,27
BVENT0640,11,27
BVENT0575,126,27
MISP0298,2,27
BVENT0618,41,27
BOUL0303,81,27
BVAR0002,20,27
5060126185673,1,27
BOUL0320,112,27
BOUL0328,59,27
9780954835873,730,27
BVENT0684,47,28
BVAR0628,866,28
MISP0298,96,28
BVENT0602,69,28
BOUL0997,72,28
BVENT0872,27,28
BMOV0665,594,28
UMDBV0009,383,28
WNRD2277,374,28
FCEBX001,2327,29
UMDBV1931,462,30
UMDBV1553,303,30
BOUL0987,298,30
CDU2X47PC4,248,30
UMDBV1426,189,31
UMDBV1931,420,31
UMDBV1174,135,31
UMDBV1371,239,31
UMDBV1376,50,31
UMDBV0761,22,31
UMDBV1362,68,31
UMDBV1280,103,31
UMDBV1356,93,31
UMDBV0030,1796,32
UMDBV0767,12,32
UMDBV1379,84,32
UMDBV1379,115,32
UMDBV1375,120,32
UMDBV1375,46,32
UMDBV1375,35,32
UMDBV1375,80,32
UMDBV1366,26,32
UMDBV1367,198,33
UMDBV1365,30,33
UMDBV1047,265,33
UMDBV1931,420,33
UMDBV1379,83,33
UMDBV1365,75,33
UMDBV1365,49,33
UMDBV1365,86,33
UMDBV1374,25,33
UMDBV0973,63,33
UMDBV0973,40,33
INF204,12,33
UMDBV0973,29,33
UMDBV0973,37,33
UMDBV0973,35,33
UMDBV0764,90,33
UMDBV0764,85,33
UMDBV0764,73,33
UMDBV0973,49,33
INF473(BX4),64,33
UMDBV1373,35,33
UMDBV1171,22,33
UMDBV1254,31,33
UMDBV0029,1200,34
UMDBV0002,2589,34
UMDBV0960,906,34
UMDBV0609,409,34
UMDBV0964,1887,35
UMDBV0606,1487,36
UMDBV0869,4095,37
UMDBV0031,2739,38
UMDBV0715,1490,39
UMDBV1282,1890,39
BVAR0097,172,40
UMDBV1259,777,40
UMDBV1279,509,40
9780954835866,25,40
UMDBV1052,42,40
UMDBV1052,75,40
9780954835873,41,40
UMDBV1044,163,40
UMDBV1866,88,40
UMDBV1264,122,40
UMDBV0763,63,40
UMDBV0031,2826,41
UMDBV1556,236,42
UMDBV0964,200,42
UMDBV0799,175,42
UMDBV1252,174,42
UMDBV0957,173,42
UMDBV1257,169,42
UMDBV0956,167,42
UMDBV1253,157,42
UMDBV0970,152,42
UMDBV1053,151,42
UMDBV1931,420,42
BLVDD0775-AB14,62,43
BLVDD0775,95,44
BLVDD0777,94,45
UWI0052,2700,46
BLVDD0777,94,47
SLIM0660,4800,48
FCEBX001,2625,49
PREMIERSHIP BOXSETS,1,50
PREMIERSHIP BOXSETS,1,51
PREMIERSHIP BOXSETS,1,52
PREMIERSHIP BOXSETS,1,53
PREMIERSHIP BOXSETS,1,54
PREMIERSHIP BOXSETS,1,55
PREMIERSHIP BOXSETS,1,56
PREMIERSHIP BOXSETS,1,57
PREMIERSHIP BOXSETS,1,58
PREMIERSHIP BOXSETS,1,59
PREMIERSHIP BOXSETS,1,60
PREMIERSHIP BOXSETS,1,61
PREMIERSHIP BOXSETS,1,62
PREMIERSHIP BOXSETS,1,63
PREMIERSHIP BOXSETS,1,64
PREMIERSHIP BOXSETS,1,65
PREMIERSHIP BOXSETS,1,66
PREMIERSHIP BOXSETS,1,67
PREMIERSHIP BOXSETS,1,68
PREMIERSHIP BOXSETS,1,69
PREMIERSHIP BOXSETS,1,70
PREMIERSHIP BOXSETS,1,71
PREMIERSHIP BOXSETS,1,72
PREMIERSHIP BOXSETS,1,73
PREMIERSHIP BOXSETS,1,74
PREMIERSHIP BOXSETS,1,75
PREMIERSHIP BOXSETS,1,76
PREMIERSHIP BOXSETS,1,77
PREMIERSHIP BOXSETS,1,78
PREMIERSHIP BOXSETS,1,79
PREMIERSHIP BOXSETS,1,80
PREMIERSHIP BOXSETS,1,81
PREMIERSHIP BOXSETS,1,82
PREMIERSHIP BOXSETS,1,83
SLIM0660,4547,84
BVAR0802,8,85
BVENT0880,7,85
BVAR0582,436,85
BOUL0898,187,85
INF460,1292,85
BVAR0430,678,85
INF311,642,85
UMDBV0863,151,86
UMDBV0846,150,86
UMDBV1359,150,86
UMDBV1366,144,86
UMDBV1050,143,86
UMDBV0766,141,86
BVAR0507,150,86
BVAR0089,9,86
BLVDD0172,19,86
BOUL0082,127,86
BVAR0019,63,86
BVAR0863,990,86
UMDBV0760,139,87
UMDBV1358,139,87
UMDBV1228,139,87
UMDBV0762,137,87
UMDBV1043,135,87
UMDBV0862,135,87
UMDBV1226,164,87
UMDBV1931,462,87
BVAR0727,481,88
BVAR0851,450,88
BVAR0233,3,88
BMOV0656,212,88
INF252,214,88
BOUL0819,246,88
BMOV0655,210,88
BVENT0320,8,88
BLVDD0730,101,88
BVAR0509,510,89
BVAR0511,203,89
BVAR0394,187,89
BVAR0586,363,89
BOUL0021,43,89
BMOV0661,279,89
BMOV0662,323,89
BVAR0523,509,89
UMDBV1291,2524,90
BVENT0163,187,91
UMDBV1171,132,91
UMDBV1041,131,91
UMDBV0851,131,91
UMDBV1415,127,91
WNRD2272,1548,91
UMDBV1380,119,92
UMDBV0869,119,92
UMDBV1354,110,92
UMDBV1173,108,92
UMDBV1377,105,92
UMDBV0753,103,92
UMDBV0964,99,92
UMDBV0754,98,92
UMDBV1279,98,92
BVENT0090,616,92
BVAR0843,190,92
WNRD2275,1353,93
WNRD2272,633,93
BVAR0579,164,93
UMDBV1042,97,94
UMDBV1254,97,94
UMDBV0755,95,94
BVENT0127,93,94
UMDBV1377,90,94
UMDBV0765,90,94
WNRD2277,39,94
BVAR0590,64,94
BVAR0580,580,94
5014503264628,1,94
BVENT0790,523,94
BVENT0803,147,94
BVAR0160,108,94
BOUL0883,151,94
BOUL0147,14,94
BMOV0653,10,94
BMOV0662,610,95
WNRD2276,221,95
WNRD2271,1390,95
BOUL0582,233,96
BVAR0507,524,96
BVAR0603,288,96
BLVDD0044,51,96
BVAR0580,57,96
BVAR0015,498,96
BVAR0020,378,96
BOUL0082,26,96
BVAR0510,428,96
BVAR0528,840,97
BVAR0431,76,97
BMOV0659,116,97
BVAR0592,360,97
BOUL0070,41,97
BVAR0629,336,97
BAD STOCK PLT,1,98
BVAR0726,1440,99
BOUL0536,165,100
BVAR0940,499,100
BOUL0099,35,100
BLVDD0700,112,100
BVAR0543,163,100
BOUL0649,89,100
INF120,243,100
BVENT0987,76,100
BOUL0822,296,100
BVAR0005,198,100
WNRD2275,1123,101
WNRD7021,812,101
BMOV0656,615,102
9780954835811,848,102
BLVDD0730,758,102
BVAR0231,114,102
5017188883313,1,103
UMDBV1047,570,103
UMDBV0706,126,103
UMDBV0968,1599,103
UMDBV1226,97,103
UMDBV0863,156,103
UMDBV0008,150,104
BLVDD0677,44,104
UMDBV1174,978,104
UMDBV0705,689,104
UMDBV1043,182,104
UMDBV0851,122,104
UMDBV0616,116,104
UMDBV0968,1712,104
UMDBV0862,157,104
BLVDD0156,721,105
BVAR0625,671,105
BVAR0522,671,105
BOUL0061,657,106
UMDBV1931,32,106
BMOV0666,836,106
UMDBV1375,1054,107
UMDBV0593,252,107
UMDBV1415,189,107
UMDBV0604,36,107
UMDBV0761,102,107
UMDBV0610,724,107
UMDBV0635,14,107
UMDBV0620,55,107
UMDBV0688,3,107
BLVDD0775-AB14,94,108
BVAR0203,272,109
BVAR0596,175,109
BVAR0542,553,109
BMOV0662,210,109
BOUL0065,150,109
BVENT0303,30,109
BVENT0319,55,109
BVENT0310,61,109
BVENT0312,26,109
BMOV0665,191,109
BMOV0666,191,109
BVENT0894,1,109
BVAR0524,508,109
BVED0055,299,109
BVENT0560,185,110
BVENT0891,139,110
BOUL0900,565,110
INF253,258,110
BVENT0355,54,110
BLVDD0693,372,110
BVAR0514,593,110
BLVDD0730,150,110
BVAR0844,4,110
INF267,294,110
BVAR0235,139,111
BVAR0412,52,111
BVAR0589,399,111
BVAR0529,375,111
BVAR0623,160,111
BVENT0252,127,111
BLVDD0127,154,111
BOUL0893,262,111
BLVDD0740,1,111
BVENT0101,135,111
BLVDD0614,70,111
BOUL0883,151,111
BMOV0660,209,111
INF246,241,111
BMOV0666,264,111
BLVDD0776-A2B5,63,112
BVAR0722,415,112
BOUL0821,66,113
UWI0121,721,113
BOUL0988,51,113
BOUL0900,660,113
BVAR0242,196,113
BVENT0851,60,113
BVAR0406,17,114
BVAR0529,400,114
BMOV0657,245,114
BLVDD0611,12,114
BVAR0238,83,114
BOUL0455,581,114
BVENT0513,109,114
BMOV0660,217,114
BVENT0877,332,114
BVAR0622,18,114
BVENT0089,177,114
BVAR0522,32,114
BOUL0583,98,114
BLVDD0671,2,114
BLVDD0776-A2B5,95,115
BLVDD0779,42,116
BOUL0693,146,117
BOUL0994,472,117
UWI0074,856,117
BVAR0144,129,118
UMDBV1227,79,118
UMDBV0609,556,118
UMDBV0614,404,118
UMDBV0702,1148,118
BLVDD0670,24,119
BVAR0268,120,119
BVAR0541,177,119
BVENT0093,173,119
BVAR0519,150,119
BVAR0244,60,119
BVENT0594,161,119
BMOV0661,371,119
BVENT0145,72,119
UW90750,572,119
BVAR0404,1,119
UWI0055,174,119
BOUL0890,45,119
BVENT0681,153,119
BOUL0031,81,119
UMDBV1889,1426,120
BOUL0995,703,120
BLVDD0777,60,121
BLVDD0776,31,121
BLVDD0778-4,64,122
BLVDD0778-4,95,123
BLVDD0598,821,124
BOUL0071,848,124
BMOV0660,997,124
BLVDD0681-H,447,125
BVAR0527,764,125
AVEDD0535-H,497,125
AVEDD0527-H,572,125
BLVDD0785-H,487,125
BVAR0545,476,125
BLVDD0467-H,497,126
AVEDD0561-H,571,126
BLVDD0113-H,572,126
BLVDD0039-H,566,126
BLVDD0456-H,566,126
BLVDD0072-H,572,126
BLVDD0158-H,495,126
BOUL0588,23,127
BOUL0590,69,127
BLVDD0110,114,127
BVENT0581,42,127
BVAR0608,776,127
BOUL0989,10,127
BOUL0153,66,127
BVENT0790,109,127
BVAR0612,98,127
BVAR0524,301,127
BLVDD0108,168,128
INF231,501,128
BVAR0605,350,128
BOUL0991,110,128
BVENT0738,29,128
BVAR0584,150,128
9780954835880,285,128
BVENT0144,341,128
UMDBV0764,1140,129
UMDBV1119,362,129
UMDBV1119,538,129
BLVDD0093,55,130
BOUL0061,31,130
BVAR0607,185,130
BOUL0994,97,130
9780954835897,596,130
UWI0038,1276,130
BOUL0881,200,130
BOUL0067,689,131
BLVDD0035-H,446,131
BLVDD0470-H,272,131
BLVDD0694-H,565,131
BLVDD0709-H,572,131
BLVDD0972-H,98,131
BLVDD0492-H,109,131
BVAR0141,674,132
BVENT0277,176,132
BVAR0210,100,132
BVAR0207,100,132
BVAR0209,225,132
WNRD2271,547,132
BVENT0581,600,133
BVAR0590,574,133
BVAR0230,22,133
BVAR0616,492,133
UW90453,1672,134
UMDBV1293,7,135
UMDBV0753,520,135
UMDBV0701,198,135
UMDBV0799,431,135
BVENT0254,127,135
UMDBV1050,705,135
BVENT0578,128,135
UMDBV0968,570,135
UMDBV1042,465,135
BLVDD0108,182,136
BVAR0519,342,136
BOUL0992,61,136
BOUL0699,58,136
INF121,194,136
UWI0081,618,136
BVENT0127,182,136
UWI0052,484,136
INF473(BX4),138,136
BVAR0585,198,136
BVAR0263,820,137
BMOV0664,917,137
BOUL0057,846,138
BVAR0205,793,138
BLVDD0775,48,138
BLVDD0041,681,139
BVAR0727,428,139
BVAR0505,715,139
BVAR0851,240,140
BMOV0658,155,140
BVAR0431,573,140
FCEBX001,390,140
BVENT0990,80,140
BLVDD0050,26,140
BVAR0535,597,140
BVAR0726,624,141
MISP0298,513,141
UMDBV1361,1250,142
BVED0061,212,142
UMDBV0956,1188,143
BVENT0574,93,143
UMDBV0846,706,143
UMDBV0622,1457,143
UWI0058,167,143
UMDBV1376,1205,143
BOUL0820,207,144
BVAR0519,150,144
INF254,213,144
BOUL0993,32,144
9780954835897,375,144
9780954835866,360,144
INF247,375,144
BVAR0617,859,144
BVAR0533,295,144
BVAR0549,105,144
UMDBV0592,388,145
BOUL0824,1,145
UMDBV0715,525,145
UMDBV1056,609,145
5050582391251,1,145
BVENT0799,289,145
BVENT0697,63,145
INF247,300,145
BVAR0532,291,145
BVAR0533,48,145
CDU2X47PC4,193,146
UMDBV1426,255,147
BLVDD0087,8,147
UMDBV0598,191,147
UMDBV0754,2,147
BMOV0657,255,147
UMDBV1251,41,147
UMDBV0603,113,147
BLVDD0612,172,147
UMDBV0762,293,147
UMDBV0967,30,147
UMDBV1044,27,147
UMDBV1041,240,147
UMDBV1041,417,147
UMDBV0755,1,148
UMDBV0962,274,148
UMDBV0606,1479,148
UMDBV0766,676,148
UMDBV0621,1628,148
UMDBV0864,1,148
UMDBV0716,628,149
UMDBV0703,296,149
BVAR0594,170,149
UMDBV0599,883,149
UMDBV1282,429,149
UMDBV1171,260,149
UMDBV1366,708,149
